mouse_id,genotype,condition,panel_key,pair,metric,damaged,intact,ratio,pct_change,log2_ratio,damaged_area_mm2,intact_area_mm2
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_mli_direct_um,28.250150401739113,19.960129334682268,1.4153290255816275,41.53290255816275,0.5011374794848186,0.029692949285512447,7.108414360623637
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_mli_indirect_um,50.372012805944195,27.216513958054758,1.85078856475065,85.078856475065,0.888140090233431,0.029692949285512447,7.108414360623637
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_airspace_width_edmmean_um,47.72352576616278,15.90116077190951,3.001260502344562,200.12605023445622,1.5855685469034744,0.029692949285512447,7.108414360623637
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_airspace_width_edmmedian_um,19.983644859813083,12.304536867298888,1.6240875276600253,62.40875276600253,0.6996293864136567,0.029692949285512447,7.108414360623637
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_wall_thickness_edmmean_um,3.861791814570127,4.864422468374523,0.7938849554447865,-20.611504455521345,-0.33299813819249074,0.029692949285512447,7.108414360623637
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_wall_thickness_edmmedian_um,3.336216216216216,3.5996692707594775,0.9268118722230065,-7.318812777699346,-0.10965157001182572,0.029692949285512447,7.108414360623637
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_wall_thickness_2a_over_b_um,2.550759685108241,3.391410449172426,0.7521235554754745,-24.78764445245255,-0.410958414062043,0.029692949285512447,7.108414360623637
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_surface_density_per_um,0.0791383907166939,0.14750112921707406,0.5365273549887726,-46.347264501122744,-0.8982763658430035,0.029692949285512447,7.108414360623637
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_mli_anisotropy_ratio,1.176832707140191,1.0550724483854268,1.1154046425353001,11.540464253530015,0.15756718088652272,0.029692949285512447,7.108414360623637
m2,IFNg_KO_hom,PR8,LEFT,damaged_core_vs_intact_core,morph_mean_airspace_component_eqdiam_um,3.114302613281731,6.154408353258251,0.5060279452586153,-49.397205474138474,-0.9827110353180407,0.029692949285512447,7.108414360623637
